Population	#SNPs	GD1	GD2	GD3	EA1	EA2	EA3	EA4	AF1	AF2	AF3	EU1	EU2	EU3	SA1	SA2	IC1	IC2	IC3
Cyprus	279705	1.4519	1.4070	0.0062	2.6020	-2.3260	0.9678	2.6966	3.1445	2.3977	4.7273	1.3609	-1.0537	-1.2830	0.4269	1.7842	0.1235	-0.9732	-0.3137
Czech	279867	1.4763	1.4324	0.0003	2.5104	-2.3206	0.9167	2.6754	3.4387	2.6810	5.3484	-0.5386	-0.6219	0.2600	1.0472	1.8506	-0.0642	-0.6771	-0.8730
Denmark	279981	1.4780	1.4369	-0.0006	2.5144	-2.3364	0.9151	2.6824	3.4818	2.7384	5.4290	-0.8095	-0.6886	-0.3094	1.0844	1.8621	-0.0859	-0.6405	-0.9417
Ecuador	280608	1.5559	1.3001	0.0267	1.1231	-1.3574	0.1367	1.4041	3.2103	2.4268	4.5116	-0.2048	0.2207	0.1918	2.0276	1.1231	-1.3533	1.8106	1.2809
Egypt	280629	1.3938	1.3523	-0.0029	2.6385	-2.2623	1.0270	2.6920	2.4681	1.8950	3.7548	1.9902	-1.0135	-1.5713	0.3666	1.5838	0.0579	-0.4666	-0.0984
Eritrea	280651	1.2953	1.2583	-0.0113	2.6775	-2.1484	1.1008	2.6782	1.5208	1.0994	2.0062	2.5829	-0.8428	-1.6885	0.3931	1.2137	-0.0396	0.5495	0.3362
Estonia	280715	1.4867	1.4258	-0.0017	2.3999	-2.2422	0.8552	2.5707	3.4557	2.7550	5.3869	-0.9314	-0.1219	0.9971	1.2238	1.8148	-0.0858	-0.5044	-0.7372
Ethiopia	280275	1.2897	1.2529	-0.0122	2.6891	-2.1313	1.1098	2.6797	1.4739	1.0748	1.9215	2.5766	-0.8367	-1.6789	0.4123	1.1948	-0.0394	0.6119	0.3778
Finland	279732	1.4956	1.4156	0.0005	2.2631	-2.1642	0.7797	2.4634	3.4510	2.7132	5.3495	-0.9598	.	0.5464	1.3484	1.7366	-0.1055	-0.3732	-0.5864
France	279854	1.4712	1.4341	0.0003	2.5593	-2.3551	0.9483	2.7139	3.4142	2.6876	5.3117	-0.3417	-0.9242	.	0.9761	1.8628	-0.0981	-0.7215	-1.0643
Gambia	280016	1.0903	1.1088	0.0014	2.8854	-2.0973	1.2908	2.8030	-0.6246	0.3426	0.2258	3.1141	-0.4577	-1.6044	0.5614	0.5590	-0.2555	2.6089	1.0536
Germany	279672	1.4758	1.4353	-0.0004	2.5318	-2.3411	0.9268	2.6933	3.4515	2.7161	5.3817	-0.6555	-0.7887	-0.3710	1.0430	1.8606	-0.0805	-0.6693	-0.9480
Ghana	280181	1.0779	1.0991	0.0003	2.8949	-2.0911	1.2934	2.8149	-0.8280	.	0.1888	3.1542	-0.4354	-1.5769	0.5707	0.5275	-0.2631	2.6929	1.1297
Greece	279491	1.4623	1.4196	0.0034	2.5820	-2.3407	0.9576	2.7044	3.2776	2.5425	4.9992	0.7500	-0.9504	-0.8693	0.6489	1.8320	0.0426	-0.9234	-0.6427
Guianas	280170	1.1268	1.1316	-0.0095	2.8353	-2.1080	1.2438	2.7812	-0.1933	0.2985	0.6584	2.7478	-0.4709	-1.4644	0.6229	0.6635	-0.2433	2.3320	0.9260
Guinea	280685	1.0834	1.1027	-0.0005	2.8853	-2.1026	1.2956	2.8083	-0.7381	0.4914	0.1907	3.1394	-0.4481	-1.5840	0.5609	0.5272	-0.2664	2.6658	1.1036
Hong Kong	280353	1.7060	1.0976	-0.0009	-0.2245	-0.7681	-0.3963	-1.0285	2.5868	1.8525	3.6036	0.6807	1.1975	0.5433	3.5127	0.2055	0.0651	1.7337	3.1505
Hungary	279442	1.4767	1.4267	-0.0002	2.4889	-2.3031	0.9045	2.6498	3.4038	2.6523	5.2778	-0.3198	-0.6614	0.0646	1.0038	1.8282	-0.0503	-0.6869	-0.8024
Iceland	279446	1.4787	1.4370	0.0002	2.5073	-2.3302	0.9044	2.6829	3.4887	2.7420	5.4356	-0.9189	-0.7377	-0.3858	1.1073	1.8546	-0.0865	-0.6084	-0.9178
India	280434	1.5113	1.3187	0.0008	2.1226	-1.6641	0.6809	2.1412	2.9168	2.1743	4.3496	0.4397	-0.3878	-0.1340	-0.0842	.	0.9469	-0.0428	2.0436
Indonesia	280773	1.7044	1.0998	-0.0014	-0.3180	-0.7531	-0.4483	-0.9870	2.5854	1.8257	3.6130	0.6754	1.1899	0.5343	3.4780	0.2030	0.0744	1.7266	3.1543
Iran	280245	1.4691	1.3832	0.0057	2.4330	-2.1762	0.8439	2.5083	3.1039	2.3500	.	1.0564	-0.8551	-0.8278	0.2605	1.6182	0.3944	-0.7316	.
Iraq	280386	1.4552	1.3876	0.0071	2.5177	-2.2306	0.9037	2.5882	3.0433	2.3023	4.5418	1.3092	-0.9479	-1.0602	0.2548	1.6706	0.3131	-0.8066	0.5441
Irish	279627	1.4774	1.4379	-0.0001	2.5309	-2.3454	0.9224	2.6958	3.4810	2.7445	5.4283	.	.	-0.5781	1.0682	1.8698	-0.0856	-0.6285	-0.9293
Israel	280648	1.4427	1.3956	0.0120	2.5995	-2.2929	0.9727	2.6625	3.0132	2.3051	4.5064	1.4936	-1.0453	-1.3246	0.3056	1.7208	0.1828	-0.8542	0.0106
Italy	279738	1.4616	1.4247	0.0034	2.5967	-2.3585	0.9700	2.7275	3.2979	2.5679	5.0670	.	-0.9998	-1.0686	0.7319	1.8409	-0.0183	.	.
Ivory Coast	281012	1.0777	1.0985	0.0012	2.8792	-2.0952	1.2860	2.8074	-0.7711	0.7180	0.1695	3.1541	-0.4301	-1.5828	0.5669	0.5265	-0.2597	2.7078	1.1435
Japan	280235	1.7021	1.1026	0.0010	-0.7845	.	-0.8131	-0.8473	2.5833	1.8648	3.6144	0.6515	1.2933	0.5983	3.3408	0.2153	-0.0099	1.8004	3.1792
Jordan	280780	1.4327	1.3799	0.0029	2.5676	-2.2561	0.9580	2.6469	2.8518	2.1502	4.3012	1.6074	-1.0167	-1.3314	0.3776	1.6744	0.1499	-0.7346	0.0250
Kashmir	280686	1.5016	1.3342	0.0044	2.2398	-1.7736	0.7203	2.2615	2.9846	2.1918	4.4121	0.4167	-0.4794	-0.1491	-0.0876	1.0208	0.8977	-0.1659	1.9887
Kenya	280585	1.1511	1.1453	-0.0091	2.8006	-2.0800	1.2252	2.7397	0.6826	0.0000	0.0879	2.9639	-0.5611	-1.6137	0.5290	0.7389	-0.1778	2.0132	0.9201
Korea	280482	1.7062	1.0998	0.0020	-0.9427	-0.0547	-0.9513	-0.9077	2.6165	1.8816	3.6164	0.6586	1.3398	0.6362	3.5183	0.2279	-0.0371	1.8316	3.2280
Kosovo	280519	1.4659	1.4285	0.0038	2.6044	-2.3267	0.9691	2.7229	3.3638	2.5801	5.1326	0.4612	-0.9279	-0.7475	0.7777	1.8710	-0.0259	-0.9288	-0.9076
Kuwait	280664	1.4331	1.3863	0.0092	2.5963	-2.2731	0.9826	2.6687	2.9001	2.1903	4.3536	1.6089	-1.0434	-1.3241	0.3054	1.6809	0.1871	-0.7908	0.0709
Kyrgyzstan	280738	1.5884	1.2495	-0.0107	0.7543	-1.2787	-0.1002	1.0096	2.9350	2.1077	4.2793	0.3126	0.3350	0.2603	1.9264	0.9051	0.1425	0.6719	1.9895
Laos	279538	1.6886	1.1069	-0.0061	0.6147	-0.8135	0.0255	-0.7969	2.5022	1.8376	3.5943	0.7135	1.0161	0.4871	3.3089	0.1835	0.1978	1.5958	3.0112
Latvia	279968	1.4835	1.4300	0.0017	2.4352	-2.2781	0.8741	2.6033	3.4728	2.7230	5.3959	-0.9169	-0.2674	1.1960	1.2041	1.8230	-0.0719	-0.5402	-0.7674
Lebanon	280327	1.4441	1.3981	0.0081	2.6054	-2.3044	0.9705	2.6872	3.0096	2.3176	4.5533	1.5504	-1.0712	-1.3646	0.3013	1.7514	0.1803	-0.9275	-0.0425
Liberia	280847	1.0774	1.0988	0.0010	2.8770	-2.0744	1.2846	2.8243	-0.8296	0.5680	0.1723	3.1527	-0.4308	-1.5714	0.5808	0.5236	-0.2679	2.7013	1.1246
Libya	280053	1.3884	1.3511	-0.0040	2.6401	-2.2491	1.0387	2.7148	2.3090	1.8748	3.7981	1.8383	-1.0109	-1.6587	0.4963	1.5628	-0.0442	-0.3369	-0.4455
Lithuania	280049	1.4823	1.4314	0.0016	2.4483	-2.2860	0.8809	2.6200	3.4662	2.7365	5.4109	-0.9078	-0.3191	1.2014	1.1772	1.8324	-0.0688	-0.5590	-0.7925
Luxembourg	281467	1.4732	1.4337	0.0003	2.5310	-2.3506	0.9341	2.6943	3.4259	2.7197	5.3531	-0.5089	-0.8658	-0.6544	1.0262	1.8468	-0.0715	-0.6858	-0.9460
Macedonia	280636	1.4702	1.4263	0.0023	2.5510	-2.3170	0.9415	2.6752	3.3458	2.6428	5.1669	0.2841	-0.8171	-0.3960	0.8424	1.8469	-0.0156	-0.8530	-0.8232
Malawi	278895	1.0836	1.1016	0.0008	2.8861	-2.0905	1.2930	2.8028	0.5087	-0.5305	-0.4054	3.1503	-0.4515	-1.5727	0.5696	0.5199	-0.2444	2.6423	1.1478
